edge_index,tie
712.0,0.2788249385569225
714.0,-0.13440638798788065
716.0,-0.1412141617705821
717.0,-0.1098728083951255
717.0,0.3210767302913704
719.0,-0.05924391835250317
719.0,0.3494165389556068
720.0,-0.13764034218706805
721.0,-0.1048866431519429
722.0,-0.10530913584338378
723.0,0.4781682572537122
724.0,-0.09671779388425043
724.0,0.44871571185709047
725.0,-0.068799328710745
725.0,0.3915405599458346
726.0,0.44395268911572666
729.0,0.030702167190612556
729.0,0.4376080710527569
730.0,-0.04720046853309486
732.0,0.004297360378261224
734.0,-0.4955660851109867
735.0,0.08205144538124695
735.0,0.4625662325411876
737.0,-0.41403182227313523
737.0,-0.031957179590385604
738.0,0.04361982290890859
739.0,0.08045243896640579
740.0,-0.485119289061506
741.0,-0.38294899322592746
741.0,0.06359913702504993
742.0,-0.4165083734074825
742.0,0.02897332649692892
743.0,0.12365520920520084
744.0,-0.48044978131979016
746.0,-0.3026244865660031
746.0,0.021423723376269604
747.0,0.11996651972009838
749.0,-0.3781530781749511
750.0,-0.32441680000982304
750.0,0.12018356791159138
751.0,-0.3847139494637228
752.0,-0.3069876328362005
752.0,0.14812132264043276
753.0,-0.36455073854724046
754.0,0.2342289138002917
755.0,-0.3877635779706335
756.0,0.2098128639502541
757.0,0.18662579527991738
758.0,0.205340198026347
759.0,0.2595770764495409
760.0,-0.2837929755564532
760.0,0.22341173236642142
761.0,-0.2770853683441409
761.0,0.23703731515045617
762.0,-0.2449630829091522
762.0,0.1971346450578184
766.0,-0.1907620468376768
769.0,-0.13030695308411105
769.0,0.21618550877535353
772.0,-0.15315692344821305
773.0,-0.19603091446676907
775.0,-0.07734641789908717
775.0,0.31949883615209723
776.0,-0.10515318430081037
776.0,0.30705313203969337
778.0,-0.10617819450510978
780.0,-0.11298596828781123
781.0,-0.08164461491235463
781.0,0.3493049237741413
783.0,-0.03101572486973229
783.0,0.37764473243837765
784.0,-0.10941214870443061
785.0,-0.07665844966917203
786.0,-0.0770809423606129
