Edge_Index,TIE_Seconds,Bit,Bit_Prev_1,Bit_Prev_2,Bit_Prev_3,Bit_Prev_4,Bit_Prev_5
241,-4.442791203816037e-11,0,1,1,0,1,1
243,2.199421145797445e-10,0,0,0,1,1,0
243,2.4451101932671986e-11,0,0,0,1,1,0
245,2.1265294735064105e-10,1,0,0,0,0,1
246,1.4726212885760918e-10,0,1,0,0,0,0
247,2.1639177736363294e-10,0,0,1,0,0,0
247,8.701818006486006e-11,0,0,1,0,0,0
248,-7.067860203758833e-11,1,0,0,1,0,0
249,-9.079532460419246e-11,1,1,0,0,1,0
249,-1.732005902868963e-10,1,1,0,0,1,0
250,-1.5239406185325408e-10,0,1,1,0,0,1
251,-1.804047850714533e-10,1,0,1,1,0,0
252,-2.9317325442297205e-10,0,1,0,1,1,0
253,-1.6274565669525787e-10,1,0,1,0,1,1
256,3.1007467040503283e-10,0,1,1,1,0,1
257,2.0462102457206124e-10,0,0,1,1,1,0
257,8.07181316848231e-11,0,0,1,1,1,0
258,3.8587472601448556e-12,1,0,0,1,1,1
260,1.2582073855826485e-10,0,1,1,0,0,1
260,-3.897333046000693e-11,0,1,1,0,0,1
260,-1.7850044202005426e-10,0,1,1,0,0,1
261,-2.489918397534283e-10,1,0,1,1,0,0
263,-4.4427812557343555e-11,0,1,1,0,1,1
265,2.1994221406056794e-10,0,0,0,1,1,0
265,2.4451201413495415e-11,0,0,0,1,1,0
267,2.1265304683145786e-10,1,0,0,0,0,1
268,1.4726222833841937e-10,0,1,0,0,0,0
269,2.1639187684443652e-10,0,0,1,0,0,0
269,8.701827954567687e-11,0,0,1,0,0,0
270,-7.067850255677152e-11,1,0,0,1,0,0
271,-9.079522512336903e-11,1,1,0,0,1,0
271,-1.7320049080607949e-10,1,1,0,0,1,0
272,-1.523939623724439e-10,0,1,1,0,0,1
273,-1.8040468559062986e-10,1,0,1,1,0,0
274,-2.9317315494216185e-10,0,1,0,1,1,0
275,-1.6274555721444768e-10,1,0,1,0,1,1
278,3.10074769885843e-10,0,1,1,1,0,1
279,2.0462112405287805e-10,0,0,1,1,1,0
279,8.071823116563329e-11,0,0,1,1,1,0
280,3.858846740961667e-12,1,0,0,1,1,1
282,1.2582083803907505e-10,0,1,1,0,0,1
282,-3.897323097919012e-11,0,1,1,0,0,1
282,-1.7850034253924406e-10,0,1,1,0,0,1
283,-2.4899174027261147e-10,1,0,1,1,0,0
285,-4.4427713076526744e-11,0,1,1,0,1,1
287,2.1994231354137813e-10,0,0,0,1,1,0
287,2.4451300894298992e-11,0,0,0,1,1,0
289,2.1265314631227467e-10,1,0,0,0,0,1
290,1.4726232781923619e-10,0,1,0,0,0,0
291,2.1639197632525333e-10,0,0,1,0,0,0
291,8.701837902649368e-11,0,0,1,0,0,0
292,-7.067840307595471e-11,1,0,0,1,0,0
293,-9.079512564255222e-11,1,1,0,0,1,0
293,-1.7320039132526267e-10,1,1,0,0,1,0
294,-1.5239386289162708e-10,0,1,1,0,0,1
295,-1.8040458610981305e-10,1,0,1,1,0,0
296,-2.9317305546134504e-10,0,1,0,1,1,0
297,-1.6274545773363087e-10,1,0,1,0,1,1
300,3.1007486936667307e-10,0,1,1,1,0,1
301,2.0462122353369486e-10,0,0,1,1,1,0
301,8.071833064646334e-11,0,0,1,1,1,0
302,3.858946221778479e-12,1,0,0,1,1,1
304,1.2582093751989186e-10,0,1,1,0,0,1
304,-3.897313149837331e-11,0,1,1,0,0,1
304,-1.7850024305841402e-10,0,1,1,0,0,1
305,-2.4899164079179465e-10,1,0,1,1,0,0
307,-4.442761359570993e-11,0,1,1,0,1,1
309,2.1994241302219494e-10,0,0,0,1,1,0
309,2.4451400375115804e-11,0,0,0,1,1,0
311,2.1265324579309148e-10,1,0,0,0,0,1
312,1.47262427300053e-10,0,1,0,0,0,0
313,2.163920758060966e-10,0,0,1,0,0,0
313,8.701847850732373e-11,0,0,1,0,0,0
314,-7.06783035951379e-11,1,0,0,1,0,0
315,-9.07950261617354e-11,1,1,0,0,1,0
315,-1.7320029184444586e-10,1,1,0,0,1,0
316,-1.5239376341081027e-10,0,1,1,0,0,1
317,-1.8040448662899624e-10,1,0,1,1,0,0
318,-2.93172955980515e-10,0,1,0,1,1,0
319,-1.6274535825280082e-10,1,0,1,0,1,1
322,3.100749688474899e-10,0,1,1,1,0,1
323,2.0462132301451168e-10,0,0,1,1,1,0
323,8.071843012728015e-11,0,0,1,1,1,0
324,3.8590457026085255e-12,1,0,0,1,1,1
326,1.258210370007219e-10,0,1,1,0,0,1
326,-3.897303201754326e-11,0,1,1,0,0,1
326,-1.785001435775972e-10,0,1,1,0,0,1
327,-2.4899154131097784e-10,1,0,1,1,0,0
329,-4.4427514114879885e-11,0,1,1,0,1,1
331,2.1994251250301176e-10,0,0,0,1,1,0
331,2.4451499855959085e-11,0,0,0,1,1,0
333,2.126533452739083e-10,1,0,0,0,0,1
334,1.4726252678088304e-10,0,1,0,0,0,0
335,2.1639217528691342e-10,0,0,1,0,0,0
335,8.701857798814054e-11,0,0,1,0,0,0
336,-7.067820411432108e-11,1,0,0,1,0,0
337,-9.079492668091859e-11,1,1,0,0,1,0
337,-1.7320019236362905e-10,1,1,0,0,1,0
338,-1.5239366392998022e-10,0,1,1,0,0,1
339,-1.8040438714817943e-10,1,0,1,1,0,0
340,-2.931728564996982e-10,0,1,0,1,1,0
341,-1.62745258771984e-10,1,0,1,0,1,1
344,3.100750683283067e-10,0,1,1,1,0,1
345,2.046214224953285e-10,0,0,1,1,1,0
345,8.071852960809696e-11,0,0,1,1,1,0
346,3.859145183425337e-12,1,0,0,1,1,1
348,1.2582113648153872e-10,0,1,1,0,0,1
348,-3.897293253672645e-11,0,1,1,0,0,1
348,-1.785000440967804e-10,0,1,1,0,0,1
349,-2.489914418301478e-10,1,0,1,1,0,0
351,-4.4427414634063074e-11,0,1,1,0,1,1
353,2.1994261198382857e-10,0,0,0,1,1,0
353,2.4451599336775897e-11,0,0,0,1,1,0
355,2.1265344475473834e-10,1,0,0,0,0,1
356,1.4726262626169986e-10,0,1,0,0,0,0
357,2.1639227476774347e-10,0,0,1,0,0,0
357,8.701867746895735e-11,0,0,1,0,0,0
358,-7.067810463349104e-11,1,0,0,1,0,0
